id_act_tra,nom_con,num_ide,no_act_tra,fec_pub
1,Movilizacion Segura 60,33923988-1,ACT-5762-87,2023-04-03
2,Express Nacional 87,67324276-4,ACT-1449-58,2023-06-19
3,Movilizacion Segura 93,41566558-1,ACT-1339-30,2023-10-11
4,Rapido y Seguro 75,39763833-8,ACT-2051-45,2023-10-21
5,Cargas Express 51,91175730-6,ACT-7223-27,2023-05-30
6,Transporte Urbano 91,60775654-5,ACT-6746-36,2023-04-15
7,Rapido y Seguro 58,66234150-3,ACT-7892-20,2023-01-04
8,Cargas Nacionales 3,62331333-8,ACT-5577-85,2023-03-08
9,Express Nacional 22,97447815-3,ACT-5654-41,2023-12-11
10,Servicios Viales 12,78903780-3,ACT-9635-11,2023-03-18
11,Express Nacional 15,62714568-6,ACT-6578-67,2023-06-13
12,Conexion Vial 47,58598333-5,ACT-4464-91,2023-01-06
13,Conexion Vial 35,43852996-6,ACT-4437-63,2023-07-15
14,Rutas Directas 38,46923368-1,ACT-5597-22,2023-10-23
15,Transporte Rapido 87,89286137-5,ACT-7734-73,2023-05-12
16,Transporte Rapido 45,10608240-7,ACT-8883-75,2023-11-02
17,Servicios de Transporte 86,62126477-1,ACT-7482-17,2023-11-08
18,Logistica Express 99,55729993-5,ACT-5301-96,2023-07-22
19,Transportes del Norte 4,14898072-7,ACT-1708-95,2023-02-11
20,Transporte Rapido 59,71694534-4,ACT-8698-53,2023-04-18
21,Cargas Nacionales 48,40068523-5,ACT-6256-36,2023-01-24
22,Servicios Viales 1,32233172-8,ACT-7471-54,2023-02-26
23,Rapido y Seguro 72,91252402-3,ACT-1386-55,2023-05-04
24,Envia Facil 77,23569910-7,ACT-1803-36,2023-12-28
25,Rapido y Seguro 3,27769354-1,ACT-3775-69,2023-12-30
26,Logistica Nacional 38,49693462-4,ACT-4126-40,2023-07-15
27,Rapido y Seguro 99,83320610-9,ACT-3134-64,2023-11-15
28,Fletes Seguros 18,97820430-9,ACT-7729-83,2023-01-18
29,Viajes y Cargas 89,81790538-6,ACT-1869-48,2023-08-02
30,Transportes del Norte 86,18844125-8,ACT-6582-65,2023-09-07
31,Fletes Seguros 96,15310043-2,ACT-6309-76,2023-02-13
32,Envios Seguros 8,47365656-5,ACT-1908-45,2023-08-21
33,Movilizacion Segura 14,78683634-4,ACT-9529-88,2023-03-19
34,Cargas Nacionales 73,78812943-2,ACT-1596-89,2023-04-01
35,Viajes y Cargas 60,90330971-3,ACT-6227-58,2023-03-07
36,Servicios de Transporte 47,35573161-6,ACT-1484-39,2023-10-03
37,Rutas y Cargas 74,83502220-5,ACT-6759-20,2023-06-13
38,Conexion Vial 95,19246124-4,ACT-4449-85,2023-05-07
39,Express Nacional 60,36255958-9,ACT-2355-21,2023-02-18
40,Envia Facil 61,33562707-6,ACT-5881-57,2023-11-13
41,Envios Seguros 95,47240626-1,ACT-5142-57,2023-09-19
42,Viajes y Cargas 10,42402794-3,ACT-2179-88,2023-09-06
43,Cargas Nacionales 30,11490678-8,ACT-5773-51,2023-11-03
44,Envios Seguros 24,34573212-1,ACT-2640-23,2023-07-03
45,Cargas Nacionales 75,69971600-2,ACT-7689-62,2023-01-06
46,Movilizacion Segura 27,81854442-3,ACT-8021-49,2023-11-19
47,Conexion Vial 64,70795905-2,ACT-4349-25,2024-01-01
48,Servicios de Transporte 41,65718848-5,ACT-7459-48,2023-03-25
49,Express Nacional 74,72092304-1,ACT-3680-49,2023-01-26
50,Rutas Directas 51,56296399-1,ACT-3846-77,2023-12-29
51,Servicios de Transporte 29,52354215-5,ACT-4683-97,2023-01-20
52,Express Nacional 12,66744019-4,ACT-1235-37,2023-02-13
53,Viajes y Cargas 77,26369647-7,ACT-8414-21,2023-06-29
54,Envia Facil 14,49330016-3,ACT-2376-40,2023-10-19
55,Transporte Rapido 3,44515429-8,ACT-4005-69,2023-05-11
56,Rutas Directas 58,74840672-1,ACT-1371-52,2023-12-10
57,Conexion Vial 7,30206175-9,ACT-1802-83,2023-02-19
58,Cargas Nacionales 20,35197227-2,ACT-1501-91,2023-02-27
59,Envios Seguros 25,80264803-8,ACT-6757-25,2023-03-03
60,Fletes Seguros 74,38066370-6,ACT-1512-10,2023-04-15
61,Envios Seguros 79,96477824-7,ACT-6882-20,2023-06-01
62,Servicios de Transporte 50,75933248-4,ACT-3569-77,2023-10-02
63,Transporte Economico 23,40751983-5,ACT-5524-84,2023-08-24
64,Fletes Seguros 88,46094495-8,ACT-9262-38,2023-06-27
65,Rutas y Cargas 64,22011266-6,ACT-2884-40,2023-11-12
66,Servicios Viales 91,86239278-7,ACT-4109-82,2023-08-14
67,Movilizacion Segura 4,37960224-5,ACT-5316-78,2023-10-11
68,Transporte Rapido 32,43140402-7,ACT-5991-75,2023-02-08
69,Transporte Rapido 94,88887895-5,ACT-4222-59,2023-01-05
70,Rapido y Seguro 86,39037060-9,ACT-1994-14,2023-02-18
71,Conexion Vial 13,28043633-6,ACT-8141-12,2023-02-22
72,Conexion Vial 19,67644727-4,ACT-8934-57,2023-06-17
73,Express Nacional 16,15757699-6,ACT-8015-63,2023-03-28
74,Transporte Urbano 84,17150450-2,ACT-6405-59,2023-03-24
75,Conexion Vial 85,71255593-6,ACT-2834-31,2023-09-16
76,Viajes y Cargas 59,21034420-2,ACT-1739-60,2023-05-15
77,Transporte Economico 27,70144525-4,ACT-6816-24,2023-01-13
78,Servicios de Transporte 38,45144613-1,ACT-9585-23,2023-03-30
79,Logistica Express 8,36184224-4,ACT-5909-75,2023-05-09
80,Transporte Urbano 67,74747969-8,ACT-6338-30,2023-07-03
81,Transporte Urbano 21,83484911-3,ACT-4891-56,2023-03-29
82,Movilizacion Segura 42,55713903-5,ACT-4839-67,2023-01-11
83,Express Nacional 79,92406975-4,ACT-1367-54,2023-09-02
84,Cargas Express 75,67022915-4,ACT-7917-14,2023-07-06
85,Servicios de Transporte 90,86498444-6,ACT-1067-11,2023-02-16
86,Logistica Nacional 2,17043139-8,ACT-2058-85,2023-06-22
87,Express Nacional 42,67273926-5,ACT-7412-39,2023-01-25
88,Cargas Express 65,17673609-4,ACT-7107-72,2023-04-15
89,Cargas Express 40,26780500-8,ACT-8627-61,2023-01-25
90,Servicios de Transporte 26,96492732-7,ACT-8882-62,2023-10-16
91,Envia Facil 71,23922015-4,ACT-4241-74,2023-10-12
92,Transporte Rapido 85,39185875-6,ACT-8713-79,2023-06-26
93,Rutas y Cargas 95,24547338-1,ACT-6199-18,2023-10-07
94,Transporte Urbano 33,55120236-6,ACT-2862-99,2023-03-03
95,Logistica Nacional 59,62327482-1,ACT-9189-88,2023-11-22
96,Cargas Express 60,84982877-5,ACT-1135-91,2023-01-02
97,Servicios de Transporte 53,84434892-9,ACT-6972-90,2023-02-13
98,Envia Facil 27,49899867-7,ACT-4563-65,2023-06-01
99,Logistica Nacional 65,94219261-9,ACT-8189-79,2023-01-30
100,Logistica Nacional 95,48389754-7,ACT-9981-74,2023-02-08
101,Envia Facil 48,24323106-2,ACT-3371-92,2023-01-22
102,Transporte Economico 13,59736668-7,ACT-2939-64,2023-02-22
103,Logistica Nacional 62,47612857-7,ACT-7754-12,2023-04-07
104,Fletes Seguros 55,47737688-4,ACT-9675-96,2023-11-04
105,Transporte Rapido 91,31502248-1,ACT-1932-68,2023-07-07
106,Express Nacional 23,44928970-4,ACT-7782-68,2023-02-21
107,Movilizacion Segura 79,59932715-1,ACT-1325-66,2023-01-21
108,Transporte Rapido 66,42325664-1,ACT-1577-84,2023-07-12
109,Viajes y Cargas 86,94986668-8,ACT-5735-64,2023-09-06
110,Servicios Viales 86,88811158-3,ACT-3732-70,2023-01-30
111,Transporte Economico 64,88072357-4,ACT-8569-37,2023-08-28
112,Cargas Express 12,32220001-2,ACT-3693-55,2023-06-19
113,Conexion Vial 69,47979098-3,ACT-2157-30,2023-04-28
114,Rutas y Cargas 85,22831788-5,ACT-9853-14,2023-11-12
115,Transporte Economico 66,97525953-8,ACT-1281-13,2023-12-18
116,Servicios Viales 89,29272016-5,ACT-2821-66,2023-12-05
117,Envios Seguros 40,92759639-7,ACT-3313-28,2023-06-18
118,Logistica Express 74,16684923-4,ACT-6552-91,2023-10-21
119,Cargas Nacionales 58,70023663-4,ACT-1918-25,2023-05-15
